generic.Name	drug.Name
Citalopram	CIPRAMIL
Citalopram	CITALOPRAM ACTAVIS
Citalopram	CITALOPRAM ALTERNOVA
Citalopram	CITALOPRAM BIOCHEMIE
Citalopram	CITALOPRAM FRONTIER
Citalopram	CITALOPRAM HEXAL
Citalopram	CITALOPRAM ORION
Citalopram	CITALOPRAM TEVA
Citalopram	CITALOPRAM-RATIOPHARM
Citalopram	EMOCAL
Citalopram	SEPRAM
Citalopram	CITALOPRAM ALPHARMA
Citalopram	CITALOPRAM ARROW
Citalopram	CITALOPRAM BMM PHARMA
Citalopram	CITALOPRAM GENERICS
Citalopram	CITALOPRAM MYLAN
Citalopram	CITALOPRAM RANBAXY
Citalopram	CITALOPRAM VITABALANS
Escitalopram	CIPRALEX
Escitalopram	DEBRELOP
Escitalopram	ESCITALOPRAM
Escitalopram	ESCITALOPRAM ACTAVIS
Escitalopram	ESCITALOPRAM LUNDBECK
Escitalopram	ESCITALOPRAM ORION
Escitalopram	ESCITALOPRAM SANDOZ
Escitalopram	ESCITALOPRAM KRKA
Escitalopram	ESCITALOPRAM NAVAMEDIC
Escitalopram	ESCITALOPRAM RATIOPHARM
Escitalopram	ESIPRAL
Fluvoxamine	FEVARIN
Fluvoxamine	FLUVOSOL
Fluoxetine	FLUOKSETIINI
Fluoxetine	FLUOXAL
Fluoxetine	FLUOXETIN GENERICS
Fluoxetine	FLUOXETINE RANBAXY
Fluoxetine	FLUOXETINE VITABALANS
Fluoxetine	FLUXANTIN
Fluoxetine	FONTEX
Fluoxetine	SEROMEX
Fluoxetine	SERONIL
Fluoxetine	FLUOXETIN BIOCHEMIE
Fluoxetine	FLUOXETIN SANDOZ
Fluoxetine	FLUOXETINE STADA
Paroxetine	OPTIPAR
Paroxetine	PAROKSETIINI GLAXOSMITHKLINE
Paroxetine	PAROXETIN ACTAVIS
Paroxetine	PAROXETIN AVANSOR
Paroxetine	PAROXETIN GENERICS
Paroxetine	PAROXETIN ORION
Paroxetine	PAROXETIN RATIOPHARM
Paroxetine	PAROXETIN STADA
Paroxetine	SERODUR
Paroxetine	SEROXAT
Paroxetine	PAROXETIN ALPHARMA
Paroxetine	PAROXETIN COPYFARM
Paroxetine	PAROXETIN MERCK NM
Paroxetine	PAROXETIN PFIZER
Paroxetine	PAROXETIN SANDOZ
Sertraline	SERTRALIN ACTAVIS
Sertraline	SERTRALIN ALTERNOVA
Sertraline	SERTRALIN HEXAL
Sertraline	SERTRALIN KRKA
Sertraline	SERTRALIN PFIZER
Sertraline	SERTRALIN RATIOPHARM
Sertraline	SERTRALINE ACCORD
Sertraline	SERTRALIN ALPHARMA
Sertraline	SERTRALIN COPYFARM
Sertraline	SERTRALIN IVAX
Sertraline	SERTRALIN ORION
Sertraline	SERTRALIN RANBAXY
Sertraline	SERTRALIN TEVA
Sertraline	ZOLOFT
Escitalopram	ESCITALOPRAM ACCORD
Fluoxetine	FLUOKSETIINI ENNAPHARMA
