ATCTUN;ATCKOODI;SELITES;SELITER;DDD;DDDYKSIKKO
94;A02BX;Muut maha- ja pohjukaissuolihaavan sekä refluksitaudin hoitoon tarkoitetut valmisteet;Övriga medel vid peptiska sår och gastroesofageal refluxsjukdom (GERD);;
95;A02BX01;karbenoksoloni;karbenoxolon;0.15;g
96;A02BX02;sukralfaatti;sukralfat;4;g
97;A02BX03;pirentsepiini;pirenzepin;0.1;g
98;A02BX03;pirentsepiini;pirenzepin;20;mg
99;A02BX04;metiosulfoniumkloridi;metiosulfoniumklorid;;
100;A02BX05;vismuttisubsitraatti;vismutsubcitrat;0.48;g
101;A02BX06;proglumidi;proglumid;1.2;g
102;A02BX07;gefarnaatti;gefarnat;;
169;A03AX06;idanpramiini;idanpramin;;
170;A03AX07;proksatsoli;proxazol;;
171;A03AX08;alveriini;alverin;;
172;A03AX09;trepibutoni;trepibuton;;
173;A03AX10;isometepteeni;isometepten;;
174;A03AX11;karoveriini;karoverin;;
175;A03AX30;trimetyylidifenyylipropyyliamiini;trimetyldifenylpropylamin;50;mg
176;A03AX58;alveriini, yhdistelmävalmisteet;alverin, kombinationer;;
177;A03B;BELLADONNAA TAI SEN JOHDOKSIA SISÄLTÄVÄT VALMISTEET;BELLADONNAALKALOIDER OCH DERIVAT;;
178;A03BA;Tertiäärisen amiiniryhmän sisältävät belladonna-alkaloidit;Belladonnaalkaloider med tertiär aminogrupp;;
179;A03BA01;atropiini;atropin;1.5;mg
249;A05AA;Sappihapot ja niiden johdokset;Gallsyror och derivat;;
250;A05AA01;kenodeoksikoolihappo;kenodeoxicholsyra;1;g
251;A05AA02;ursodeoksikoolihappo;ursodeoxicholsyra;0.75;g
252;A05AB;Sappitieantiseptit;Gallantiseptika;;
253;A05AB01;nikotinyylimetyyliamidi;nikotinylmetylamid;;
254;A05AX;Muut sappilääkkeet;Andra koleretika;;
255;A05AX01;piprotsoliini;piprozolin;;
256;A05AX02;hymekromoni;hymecromon;;
257;A05AX03;syklobutyroli;cyklobutyrol;;
258;A05B;MAKSAN SUOJA-AINEET JA LIPOTROOPPISET AINEET;LEVERSKYDDANDE MEDEL, LIPOTROPIKA;;
259;A05BA;Maksan suoja-aineet;Leverskyddande medel;;
260;A05BA01;arginiiniglutamaatti;argininglutamat;;
261;A05BA03;silymariini;silymarin;;
262;A05BA04;sitioloni;citiolon;;
263;A05BA05;epomedioli;epomediol;;
264;A05BA06;ornitiinioksogluraatti;ornitinoxoglurat;;
362;A07CA;Elektrolyyttejä ja hiilihydraatteja sisältävät valmisteet;Elektrolyter med kolhydrater;2;ED
363;A07D;SUOLEN LIIKKUVUUTTA ESTÄVÄT LÄÄKEAINEET;PROPULSIONSDÄMPANDE MEDEL;;
364;A07DA;Suolen liikkuvuutta estävät lääkeaineet;Propulsionsdämpande medel;;
365;A07DA01;difenoksylaatti;difenoxylat;15;mg
366;A07DA02;opium;opium;3;ED
367;A07DA02;opium;opium;0.1;g
368;A07DA03;loperamidi;loperamid;10;mg
369;A07DA04;difenoksiini;difenoxin;;
370;A07DA05;loperamidioksidi;loperamidoxid;5;mg
371;A07DA52;morfiini, yhdistelmävalmisteet;morfin, kombinationer;;
372;A07E;SUOLISTOTULEHDUSTEN LÄÄKKEET;MEDEL VID INTESTINALA INFLAMMATIONER;;
373;A07EA;Paikallisesti vaikuttavat kortikosteroidit;Lokalt verkande kortikosteroider;;
374;A07EA01;prednisoloni;prednisolon;1;ED
103;A02BX08;sulglikotidi;sulglicotid;;
376;A07EA02;hydrokortisoni;hydrokortison;;
377;A07EA03;prednisoni;prednison;;
378;A07EA04;beetametasoni;betametason;;
379;A07EA05;tiksokortoli;tixokortol;;
380;A07EA06;budesonidi;budesonid;1;ED
381;A07EA07;beklometasoni;beklometason;;
382;A07EB;Allergialääkkeet;Antiallergika;;
383;A07EB01;natriumkromoglikaatti;natriumkromoglikat;0.8;g
384;A07EC;Aminosalisyylihappo ja sitä muistuttavat lääkeaineet;Aminosalicylsyra och liknande medel;;
385;A07EC01;sulfasalatsiini;sulfasalazin;2;g
386;A07EC02;mesalatsiini;mesalazin;1.5;g
180;A03BA03;hyoskyamiini;hyoscyamin;1.2;mg
388;A07F;MIKRO-ORGANISMEJA SISÄLTÄVÄT RIPULILÄÄKKEET;MIKROORGANISMER MOT DIARRE;;
389;A07FA;Mikro-organismeja sisältävät ripulilääkkeet;Mikroorganismer mot diarre;;
390;A07FA01;maitohappobakteerit;mjölksyrebakterier;3;ED
391;A07FA02;saccharomyces boulardii;saccharomyces boulardii;1;g
392;A07FA51;maitohappobakteerit, yhdistelmävalmisteet;mjölksyrebakterier, kombinationer;;
393;A07X;MUUT RIPULILÄÄKKEET;ÖVRIGA MEDEL MOT DIARRE;;
394;A07XA;Muut ripulilääkkeet;Övriga medel mot diarre;;
395;A07XA01;albumiinitannaatti;albumintannat;3;g
396;A07XA02;keratonia;keratoni;;
397;A07XA03;kalsiumyhdisteet;kalciumföreningar;;
398;A07XA04;rasekadotriili;racecadotril;;
399;A08;LAIHDUTUSLÄÄKKEET, LUKUUN OTTAMATTA DIEETTIVALMISTEITA;MEDEL VID OBESITAS, EXKL. DIETPREPARAT;;
265;A05BA07;tidiasiikkiarginiini;tidiasikarginin;;
401;A08AA;Keskushermostoon vaikuttavat laihdutuslääkkeet;Centralt verkande medel vid obesitas;;
402;A08AA01;fentermiini;fentermin;15;mg
403;A08AA02;fenfluramiini;fenfluramin;0.12;g
404;A08AA03;amfepramoni;amfepramon;75;mg
405;A08AA04;deksfenfluramiini;dexfenfluramin;30;mg
406;A08AA05;matsindoli;mazindol;1;mg
407;A08AA06;etilamfetamiini;etilamfetamin;;
408;A08AA07;katiini;katin;;
409;A08AA08;klobentsoreksi;klobensorex;;
410;A08AA09;mefenoreksi;mefenorex;;
411;A08AA56;efedriini, yhdistelmävalmisteet;efedrin, kombinationer;;
375;A07EA01;prednisoloni;prednisolon;;
413;A09A;RUUANSULATUSTA EDISTÄVÄT VALMISTEET, SIS. ENTSYYMIT;DIGESTIONSMEDEL, INKL. ENZYMER;;
414;A09AA;Entsyymivalmisteet;Digestionsenzymer;;
415;A09AA01;diastaasi;diastas;;
416;A09AA02;useita entsyymejä (lipaasi, proteaasi jne.) sisältävät valmisteet;kombinationer av enzymer (lipase, protease osv.);3;ED
417;A09AA02;useita entsyymejä (lipaasi, proteaasi jne.) sisältävät valmisteet;kombinationer av enzymer (lipase, protease osv.);6;ED
418;A09AA02;useita entsyymejä (lipaasi, proteaasi jne.) sisältävät valmisteet;kombinationer av enzymer (lipase, protease osv.);4;ED
419;A09AA03;pepsiini;pepsin;6;ED
420;A09AA03;pepsiini;pepsin;;
421;A09AB;Happovalmisteet;Syraersättningsmedel;;
422;A09AB01;glutamiinihappo;glutaminsyra;1.5;g
423;A09AB02;betaiinihydrokloridi;betainhydroklorid;1;g
424;A09AB03;suolahappo;saltsyra;;
425;A09AB04;sitruunahappo;citronsyra;2;g
387;A07EC03;olsalatsiini;olsalazin;1;g
427;A09AC01;pepsiini ja happo, yhdistelmävalmisteet;pepsin och syra, kombinationer;;
428;A10;DIABETESLÄÄKKEET;DIABETESMEDEL;;
429;A10A;INSULIINIT JA INSULIINIJOHDOKSET;INSULINER OCH ANALOGER;;
430;A10AB;Lyhytvaikutteiset;Snabbverkande, för injektion;40;U
431;A10AB01;ihmisinsuliini;humaninsulin;40;U
432;A10AB02;naudaninsuliini;insulin (ko);40;U
433;A10AB03;sianinsuliini;insulin (svin);40;U
434;A10AB04;lisproinsuliini;lisproinsulin;40;U
435;A10AB30;yhdistelmävalmisteet;kombinationer;40;U
436;A10AC;Pitkävaikutteiset;Långverkande;40;U
437;A10AC01;ihmisinsuliini;humaninsulin;40;U
438;A10AC02;naudaninsuliini;insulin (ko);40;U
439;A10AC03;sianinsuliini;insulin (svin);40;U
440;A10AC30;yhdistelmävalmisteet;kombinationer;40;U
441;A10AD;Insuliinisekoitteet;Insulinblandningar;40;U
400;A08A;LAIHDUTUSLÄÄKKEET, LUKUUN OTTAMATTA DIEETTIVALMISTEITA;MEDEL VID OBESITAS, EXKL. DIETPREPARAT;;
443;A10AD02;naudaninsuliini;insulin (ko);40;U
444;A10AD03;sianinsuliini;insulin (svin);40;U
445;A10AD30;yhdistelmävalmisteet;kombinationer;40;U
446;A10AE;Ylipitkävaikutteiset;Överlångverkande;;
447;A10AE01;ihmisinsuliini;humaninsulin;40;U
448;A10AE02;naudaninsuliini;insulin (ko);40;U
449;A10AE03;sianinsuliini;insulin (svin);40;U
450;A10AE30;yhdistelmävalmisteet;kombinationer;40;U
451;A10B;VEREN GLUKOOSIPITOISUUTTA PIENENTÄVÄT LÄÄKKEET, LUKUUN OTTAMATTA INSULIINEJA;BLODSOCKERSÄNKANDE MEDEL, EXKL. INSULINER;;
452;A10BA;Biguanidit;Biguanidderivat;;
453;A10BA01;fenformiini;fenformin;0.1;g
454;A10BA02;metformiini;metformin;2;g
455;A10BA03;buformiini;buformin;0.2;g
456;A10BB;Sulfonyyliureat;Sulfonylureider;;
412;A09;RUUANSULATUSTA EDISTÄVÄT VALMISTEET, SIS. ENTSYYMIT;DIGESTIONSMEDEL, INKL. ENZYMER;;
458;A10BB01;glibenklamidi;glibenklamid;7;mg
459;A10BB02;klooripropamidi;klorpropamid;0.375;g
460;A10BB03;tolbutamidi;tolbutamid;1.5;g
461;A10BB04;glibornuridi;glibornurid;38;mg
462;A10BB05;tolatsamidi;tolazamid;0.5;g
463;A10BB06;karbutamidi;karbutamid;0.75;g
464;A10BB07;glipitsidi;glipizid;10;mg
465;A10BB08;glikidoni;glikidon;60;mg
466;A10BB09;gliklatsidi;gliklazid;60;mg
467;A10BB10;metaheksamidi;metahexamid;;
468;A10BB11;glisoksepidi;glisoxepid;;
469;A10BB12;glimepiridi;glimepirid;2;mg
470;A10BB31;asetoheksamidi;acetohexamid;0.5;g
471;A10BC;Heterosykliset sulfonamidit;Heterocykliska sulfonamider;;
426;A09AC;Entsyymien ja happojen yhdistelmävalmisteet;Enzym och syra, kombinationer;;
473;A10BD;Oraalisten veren glukoosipitoisuutta pienentävien lääkkeiden yhdistelmävalmisteet;Kombinationer av orala blodsockersänkande medel;;
474;A10BD01;fenformiini ja sulfonyyliureat;fenformin och sulfonylureider;;
