vnr	ATC	valmiste	vahvuus	vahvuus_num	pkoko	pkoko_num
3	J01DB05	CEFADROXIL GENERICS	100MG/ML	100	100ML (AQ 50G)	100
4	J01DB05	CEFADROXIL GENERICS	500 MG	500	14	14
5	N05AX08	RISPERDAL	0.5 mg	0.5	20	20
11	J01DB05	CEFADROXIL GENERICS	100MG/ML	100	60ML (AQ 30G)	60
18	G01AF05	PEVARYL KOMBI			1	1
19	P01AB01	FLAGYL	400 mg	400	10	10
51	C09AA02	ENALAPRIL-RATIOPHARM	10 MG	10	100FOL	100
52	C10AB02	BEZALIP	400MG	400	100 FOL	100
54	B03XA01	NEORECORMON	4000 IU	4000	"6 X 0,3 ML"	6
55	B03XA01	NEORECORMON RECO-PEN	60000IU	60000	1+SOL	1
66	C10AB02	BEZALIP	400MG	400	30 FOL	30
71	C10AA01	COROLIN	40MG	40	100	100
73	G03CA03	DERMESTRIL-SEPTEM	50MIKROG/24T	50	12	12
77	G03CA03	DERMESTRIL-SEPTEM	75MIKROG/24T	75	12	12
82	J01CR02	AMOXIN COMP	"50/12,5 MG/ML"		100 ML	100
83	A10BB07	APAMID	2.5MG	2.5	250	250
84	G03CA03	DERMESTRIL-SEPTEM	50MIKROG/24T	50	4	4
93	J01CR02	AMOXIN COMP	"50/12,5 MG/ML"		60 ML	60
96	C09AA02	ENALAPRIL-RATIOPHARM	10 MG	10	30 FOL	30
97	C09AA02	ENALAPRIL-RATIOPHARM	20 MG	20	100 FOL	100
108	C09AA02	ENALAPRIL-RATIOPHARM	20 MG	20	30 FOL	30
115	J01CR02	AMOXIN COMP	500 MG/125 MG		20 FOL	20
119	C09AA02	ENALAPRIL-RATIOPHARM	5 MG	5	100 FOL	100
124	J05AB11	VALTREX	500 MG	500	10 FOL	10
126	J01CR02	AMOXIN COMP	500 MG/125 MG		30 FOL	30
130	C09AA02	ENALAPRIL-RATIOPHARM	5 MG	5	30 FOL	30
136	J05AB11	VALTREX	500 MG	500	30 FOL	30
138	C10AA01	COROLIN	40MG	40	30	30
145	B03XA01	NEORECORMON	6000 IU	6000	"6 X 0,3 ML"	6
147	J05AB11	VALTREX	500 MG	500	42 FOL	42
171	R06AX13	GEKLIMON	10 MG	10	100	100
180	R06AX13	GEKLIMON	10 MG	10	30	30
240	D07AC13	ELOCON	"0,1 %"	0.1	50 ML	50
248	H01BA02	MINIRIN	0.2MG	0.2	15FOL	15
250	N05AH03	ZYPREXA VELOTAB	10 MG	10	28 FOL	28
262	N05AH03	ZYPREXA VELOTAB	15 mg	15	28	28
284	N05AH03	ZYPREXA VELOTAB	5 MG	5	28 FOL	28
287	N05AH03	ZYPREXA VELOTAB	20 mg	20	28	28
314	A02BC05	NEXIUM	20 MG	20	100	100
353	A02BC05	NEXIUM	20 MG	20	14 FOL	14
357	A02BC05	NEXIUM	20 MG	20	28 FOL	28
362	A02BC05	NEXIUM	20 MG	20	56 FOL	56
379	A02BC05	NEXIUM	40 MG	40	100	100
386	A02BC05	NEXIUM	40 MG	40	14 FOL	14
392	A02BC05	NEXIUM	40 MG	40	28 FOL	28
403	A02BC05	NEXIUM	40 MG	40	56 FOL	56
409	L03AB04	ROFERON-A	"18 MILJ IU/0,6 ML"	18	"0,6 ML"	1
410	R03AK07	SYMBICORT TURBUHALER			120	120
448	D07AC13	ELOCON	"0,1 %"	0.1	100 ML	100
449	C09CA02	TEVETEN	600 MG	600	98 FOL	98
451	A06AD65	MOVICOL CHOCOLATE			30	30
453	R03AK07	SYMBICORT TURBUHALER			3 X 120 ANNOSTA	360
460	R03AK07	SYMBICORT TURBUHALER	MITE		120	120
468	R03AK07	SYMBICORT TURBUHALER	MITE		3 X 120 ANNOSTA	360
502	J07BF03	IMOVAX POLIO			0.5 ml	1
506	C07BB02	SELOCOMP ZOC	"95/12,5 MG"		30 FOL	30
518	N05AH04	SEROQUEL	25+100+200 MG		10 FOL	10
538	C07AB03	ATENOL	100MG	100	100	100
548	S01GX08	ZADITEN	"0,25 MG/ML"	0.25	5 ML	5
549	C07AB03	ATENOL	100MG	100	30 FOL	30
552	G04BE01	CAVERJECT DUAL	20 MIKROG	20	2	2
555	N03AX11	TOPIMAX	15 MG	15	60	60
570	L04AD02	PROGRAF	"0,5 MG"	0.5	50	50
571	C07AB03	ATENOL	25MG	25	100	100
582	C07AB03	ATENOL	25MG	25	30 FOL	30
593	C07AB03	ATENOL	50MG	50	100	100
599	G04CB01	GEFINA	5 MG	5	30 FOL	30
606	C07AB03	ATENOL	50MG	50	30 FOL	30
616	G04CB01	GEFINA	5 MG	5	100 FOL	100
620	N03AD01	SUXINUTIN	250MG	250	100	100
628	C07BB02	SELOCOMP ZOC	"95/12,5 MG"		100 FOL	100
641	B05BA02	INTRALIPID	200 mg/ml	200	10 x 100 ml	100
752	B05BB02	NORMOFUSIN	50MG/ML	50	8X1000ML	8
784	G04BE01	CAVERJECT DUAL	10 MIKROG	10	2	2
853	N05CF01	ZOPICLON GENERICS	7.5MG	7.5	100	100
860	C09CA02	TEVETEN	600 MG	600	28 FOL	28
865	N05CF01	ZOPICLON GENERICS	"7,5 MG"	7.5	100 FOL	100
876	N05CF01	ZOPICLON GENERICS	"7,5 MG"	7.5	10 FOL	10
877	J01DB05	CEFADROXIL GENERICS	500 MG	500	20	20
885	J01DB05	CEFADROXIL GENERICS	500 MG	500	30	30
889	N05CF01	ZOPICLON GENERICS	"7,5 MG"	7.5	30 FOL	30
901	A02BA07	PYLORID	400MG	400	14 FOL	14
