Var1	Freq
Citalopram	16834
Citalopram-Escitalopram	9872
Citalopram-Escitalopram-Fluoxetine	3804
Citalopram-Escitalopram-Fluoxetine-Fluvoxamine	400
Citalopram-Escitalopram-Fluoxetine-Fluvoxamine-Paroxetine	205
Citalopram-Escitalopram-Fluoxetine-Fluvoxamine-Paroxetine-Sertraline	378
Citalopram-Escitalopram-Fluoxetine-Fluvoxamine-Sertraline	420
Citalopram-Escitalopram-Fluoxetine-Paroxetine	988
Citalopram-Escitalopram-Fluoxetine-Paroxetine-Sertraline	1250
Citalopram-Escitalopram-Fluoxetine-Sertraline	2300
Citalopram-Escitalopram-Fluvoxamine	516
Citalopram-Escitalopram-Fluvoxamine-Paroxetine	140
Citalopram-Escitalopram-Fluvoxamine-Paroxetine-Sertraline	155
Citalopram-Escitalopram-Fluvoxamine-Sertraline	348
Citalopram-Escitalopram-Paroxetine	1467
Citalopram-Escitalopram-Paroxetine-Sertraline	1196
Citalopram-Escitalopram-Sertraline	3585
Citalopram-Fluoxetine	5560
Citalopram-Fluoxetine-Fluvoxamine	447
Citalopram-Fluoxetine-Fluvoxamine-Paroxetine	208
Citalopram-Fluoxetine-Fluvoxamine-Paroxetine-Sertraline	200
Citalopram-Fluoxetine-Fluvoxamine-Sertraline	304
Citalopram-Fluoxetine-Paroxetine	1179
Citalopram-Fluoxetine-Paroxetine-Sertraline	880
Citalopram-Fluoxetine-Sertraline	2280
Citalopram-Fluvoxamine	810
Citalopram-Fluvoxamine-Paroxetine	195
Citalopram-Fluvoxamine-Paroxetine-Sertraline	128
Citalopram-Fluvoxamine-Sertraline	333
Citalopram-Paroxetine	1890
Citalopram-Paroxetine-Sertraline	894
Citalopram-Sertraline	4530
Escitalopram	14786
Escitalopram-Fluoxetine	3844
Escitalopram-Fluoxetine-Fluvoxamine	219
Escitalopram-Fluoxetine-Fluvoxamine-Paroxetine	100
Escitalopram-Fluoxetine-Fluvoxamine-Paroxetine-Sertraline	95
Escitalopram-Fluoxetine-Fluvoxamine-Sertraline	180
Escitalopram-Fluoxetine-Paroxetine	720
Escitalopram-Fluoxetine-Paroxetine-Sertraline	576
Escitalopram-Fluoxetine-Sertraline	1725
Escitalopram-Fluvoxamine	368
Escitalopram-Fluvoxamine-Paroxetine	93
Escitalopram-Fluvoxamine-Paroxetine-Sertraline	56
Escitalopram-Fluvoxamine-Sertraline	159
Escitalopram-Paroxetine	1332
Escitalopram-Paroxetine-Sertraline	681
Escitalopram-Sertraline	3808
Fluoxetine	6188
Fluoxetine-Fluvoxamine	338
Fluoxetine-Fluvoxamine-Paroxetine	51
Fluoxetine-Fluvoxamine-Paroxetine-Sertraline	92
Fluoxetine-Fluvoxamine-Sertraline	156
Fluoxetine-Paroxetine	924
Fluoxetine-Paroxetine-Sertraline	459
Fluoxetine-Sertraline	1914
Fluvoxamine	578
Fluvoxamine-Paroxetine	136
Fluvoxamine-Paroxetine-Sertraline	57
Fluvoxamine-Sertraline	228
Paroxetine	1965
Paroxetine-Sertraline	634
Sertraline	4573
